# time	normed_dsignal
-1.782315122709511511e-06 1.665620120334429955e-03
-1.780315122766075374e-06 1.321198397005662276e-03
-1.778315122822639237e-06 8.890851578895192378e-04
-1.776315122879203100e-06 8.198608254038970873e-04
-1.774315122935766963e-06 1.198561208482552977e-04
-1.772315122992330826e-06 -1.518925902231911106e-04
-1.770315123048894689e-06 -8.741791817268258552e-05
-1.768315123105458552e-06 1.095332681922815912e-05
-1.766315123162022415e-06 -2.050814039408404633e-04
-1.764315123218586278e-06 -2.266694823977184856e-04
-1.762315123275150141e-06 -6.251842373248035637e-04
-1.760315123331714004e-06 -4.139251139181480185e-04
-1.758315123388277867e-06 -3.753481649988669035e-04
-1.756315123444841729e-06 -4.354854367796222314e-04
-1.754315123501405592e-06 -4.065671284393760905e-04
-1.752315123557969455e-06 -1.234238367197421039e-04
-1.750315123614533318e-06 -4.754303546764242368e-04
-1.748315123671097181e-06 -4.214829451006522941e-04
-1.746315123727661044e-06 -3.987984219078516044e-04
-1.744315123784224907e-06 -3.441168694197642062e-04
-1.742315123840788770e-06 -4.444102775585084667e-04
-1.740315123897352633e-06 -5.647958945974171840e-04
-1.738315123953916496e-06 -5.665726270590907372e-04
-1.736315124010480359e-06 -5.478156022700947977e-04
-1.734315124067044222e-06 -7.882489255501562301e-04
-1.732315124123608085e-06 -1.092515279572084516e-03
-1.730315124180171948e-06 -1.410877003075815261e-03
-1.728315124236735810e-06 -1.539897757095541999e-03
-1.726315124293299673e-06 -1.779655664237626703e-03
-1.724315124349863536e-06 -1.804483508987095915e-03
-1.722315124406427399e-06 -1.637764404477201835e-03
-1.720315124462991262e-06 -1.720521972104820932e-03
-1.718315124519555125e-06 -1.596741394776815884e-03
-1.716315124576118988e-06 -1.638862846107982767e-03
-1.714315124632682851e-06 -1.622318258211061020e-03
-1.712315124689246714e-06 -1.528311733234012648e-03
-1.710315124745810577e-06 -1.773741665870356586e-03
-1.708315124802374440e-06 -2.265918156946146195e-03
-1.706315124858938303e-06 -2.174143396063797119e-03
-1.704315124915502166e-06 -2.123388772268677317e-03
-1.702315124972066029e-06 -2.227439451642682349e-03
-1.700315125028629891e-06 -2.247202370562400870e-03
-1.698315125085193754e-06 -2.637166855003965013e-03
-1.696315125141757617e-06 -2.894609002285926033e-03
-1.694315125198321480e-06 -2.996183332001061544e-03
-1.692315125254885343e-06 -3.095575674599232961e-03
-1.690315125311449206e-06 -3.139158973214305984e-03
-1.688315125368013069e-06 -2.984381755139815622e-03
-1.686315125424576932e-06 -3.409883837244502298e-03
-1.684315125481140795e-06 -3.379155429906800269e-03
-1.682315125537704658e-06 -3.147009064449069870e-03
-1.680315125594268521e-06 -3.180110384258294336e-03
-1.678315125650832384e-06 -3.548589291446423849e-03
-1.676315125707396247e-06 -3.606426322092526511e-03
-1.674315125763960109e-06 -3.678592184550382848e-03
-1.672315125820523972e-06 -3.265368352436300893e-03
-1.670315125877087835e-06 -2.975930547031512864e-03
-1.668315125933651698e-06 -3.065047799047804049e-03
-1.666315125990215561e-06 -3.141470468087755995e-03
-1.664315126046779424e-06 -2.725040243779603463e-03
-1.662315126103343287e-06 -2.483588736014377598e-03
-1.660315126159907150e-06 -2.005468786497470284e-03
-1.658315126216471013e-06 -1.748127763196296236e-03
-1.656315126273034876e-06 -1.685820032612193311e-03
-1.654315126329598739e-06 -1.470948118207787659e-03
-1.652315126386162602e-06 -1.278975782461982047e-03
-1.650315126442726465e-06 -1.194172661527889397e-03
-1.648315126499290328e-06 -7.566439711772188171e-04
-1.646315126555854190e-06 -1.232785954340088639e-03
-1.644315126612418053e-06 -1.490305953390189207e-03
-1.642315126668981916e-06 -1.687522762741600025e-03
-1.640315126725545779e-06 -1.575751061959261958e-03
-1.638315126782109642e-06 -2.101852437527956547e-03
-1.636315126838673505e-06 -2.533991795520253165e-03
-1.634315126895237368e-06 -2.850400763213472351e-03
-1.632315126951801231e-06 -3.262285112979025192e-03
-1.630315127008365094e-06 -3.358138410109343715e-03
-1.628315127064928957e-06 -3.390516453532636462e-03
-1.626315127121492820e-06 -3.267440355252572079e-03
-1.624315127178056683e-06 -3.079309269607706078e-03
-1.622315127234620546e-06 -2.937602261318026341e-03
-1.620315127291184409e-06 -2.514257758997288407e-03
-1.618315127347748271e-06 -2.037572922989912445e-03
-1.616315127404312134e-06 -1.622774379020794572e-03
-1.614315127460875997e-06 -1.727323408234505021e-03
-1.612315127517439860e-06 -1.429233087092311684e-03
-1.610315127574003723e-06 -1.346569018168676784e-03
-1.608315127630567586e-06 -1.089573702190910383e-03
-1.606315127687131449e-06 -1.081995941197014081e-03
-1.604315127743695312e-06 -1.329939877063060667e-03
