# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
1.732997087037162394e-07 -1.798969010523625157e-09 1.027306137829119503e+00 8.974074339779671838e-01
-2.653356946603191548e-08 -7.305015478350355561e-09 7.677114278734730179e-01 1.040426369223865777e+00
-3.730227252024929664e-09 1.710992394400065201e-07 1.125930732502960163e+00 1.022398377230477218e+00
-2.463559902792791797e-08 -1.712978354997151341e-08 1.229671577938273863e+00 8.301754756891177589e-01
1.194664007116684177e-08 1.655392792095436597e-07 1.137799121384471368e+00 8.524268250818701764e-01
-6.387943426680915815e-09 1.781936180536218224e-07 7.654581175812125160e-01 1.171066080480061444e+00
-6.719697606251623786e-09 -2.349886612643797486e-09 7.385162995422523968e-01 9.692497037552748607e-01
1.873113087444744175e-07 1.772484608671017529e-07 1.220340610979416374e+00 7.273132344938445515e-01
-4.685852580756757165e-09 -2.039633180977616246e-09 9.584519413412749822e-01 1.008872271641512164e+00
2.090369881603079771e-07 1.628950331850709859e-08 9.555000977432666076e-01 8.289532589300738774e-01
3.055539198540041160e-08 -7.028621944199310624e-10 7.044267623455826577e-01 1.283601427623988211e+00
-4.759397800734204733e-09 -6.499834734619280177e-09 1.155710336193044974e+00 7.043526150494218152e-01
-1.195414973457864979e-08 -1.224144762450146757e-08 7.723574062507629900e-01 1.061526237177472742e+00
1.397770812313537063e-08 1.523271953749752297e-08 7.427997473465747236e-01 1.088982836236023211e+00
1.976038146221986903e-06 1.198539835928694885e-07 7.210989956428642822e-01 1.289205849146474847e+00
7.309444907437386701e-08 2.004655208655461822e-06 9.686178266417266869e-01 8.246352655512003693e-01
2.570909192833125954e-07 2.919395262003477899e-08 8.181423628531888648e-01 8.729608587744972503e-01
-1.108810814473910846e-08 1.773569883822676639e-07 9.444224850526883319e-01 8.522665342408342060e-01
1.983518277489684318e-07 1.992480947660368861e-07 9.647375644605180600e-01 7.035103681888097427e-01
-2.485381412197432830e-09 -1.943085614144101502e-09 1.171231845836841590e+00 7.046728045914402161e-01
1.819862732015902517e-07 1.772820322365833919e-07 7.251212244089143555e-01 1.245002935570069802e+00
-2.450782833942414931e-08 -2.414946081205513308e-08 8.851572888905127057e-01 9.105069563340612016e-01
2.273576134251836196e-06 2.166411258423782011e-07 7.147304479277980516e-01 1.188602731511932298e+00
1.707045057292107404e-07 2.689512379502708814e-07 9.811652235963381763e-01 7.000659539434895828e-01
1.975471674467549830e-06 3.476058350353772306e-10 7.090173625205669072e-01 1.148088101339244105e+00
1.753282837747682926e-07 1.693056534117686885e-07 9.417481180340998570e-01 8.999236212861306816e-01
2.291181498304146159e-08 1.852046123178201209e-07 7.000030515984204671e-01 1.080275230101229500e+00
1.639046369816916386e-07 1.233507793056577877e-08 9.114561039283333166e-01 9.926422741645208880e-01
1.809912711783844103e-07 3.137066286469959442e-08 7.226093402979050229e-01 1.015578676052011353e+00
1.707981009973788707e-07 2.308081281596889699e-08 9.447553574791837105e-01 8.685001835050339958e-01
1.869861423242786129e-07 1.871310018520354579e-07 7.065735216004543906e-01 1.031363259182822789e+00
1.476280306973532322e-07 -1.067198464033713130e-09 1.041244295716197810e+00 7.000000034161349971e-01
2.468404794489142760e-08 1.669802400282041068e-07 8.488850046061851007e-01 9.699897236674058787e-01
2.334079005628833747e-09 2.291557362838437723e-09 1.079894205690993925e+00 7.077185059638816389e-01
2.207295568109802564e-07 8.747792100950288134e-09 7.660017708388351387e-01 1.175316604007651033e+00
1.724856763810409901e-07 -1.525844162016112307e-08 1.241745587502500747e+00 8.544425227865446448e-01
2.059332980724749886e-07 3.266356721504000209e-09 7.061956249116259077e-01 1.096474083497304797e+00
5.469890580672462639e-08 -7.805326138634766669e-09 7.001426935380753447e-01 1.282701025436595810e+00
8.035303032854857349e-09 2.207886819021805495e-07 9.391370287851270593e-01 8.283294765127506842e-01
2.538321247151456484e-07 1.392753808610316127e-08 7.000000467357337941e-01 1.244243992606016036e+00
4.345124997954481944e-09 1.566865371078017443e-07 1.074663088873073713e+00 9.335739077325762025e-01
