# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
2.403783526958757256e-07 8.625453482927951135e-08 7.308676818940595954e-01 1.300000000000000044e+00
5.736219643348567820e-08 6.337759993432608627e-08 7.112338755044934624e-01 1.300000000000000044e+00
2.427051129394260681e-07 2.465742353206665836e-07 7.369421349971232438e-01 1.076370460026361275e+00
7.532946415485703976e-08 9.839397967734130879e-08 1.300000000000000044e+00 7.095665269822293286e-01
4.799412557181571966e-08 1.982167810493237414e-07 1.091923569932122362e+00 8.632050989290518395e-01
1.749236002501986732e-07 6.820094377781404486e-08 7.157434567759096700e-01 1.300000000000000044e+00
-7.646591793565780066e-09 -2.634490371699808454e-08 1.272132840023543654e+00 7.775338444064729959e-01
2.308381791410377682e-08 2.504293282898534543e-07 9.530407957441595634e-01 1.014122052891717196e+00
7.839479607822147703e-08 2.421161962219201201e-06 1.300000000000000044e+00 7.145969420874799249e-01
3.767323225593975700e-08 1.029608994442944521e-07 1.300000000000000044e+00 7.210481521682432504e-01
2.849215061121883193e-08 1.100663561192497340e-08 1.041982908690379350e+00 1.300000000000000044e+00
2.347762036054064552e-07 2.711184491869235422e-07 1.252405725179037477e+00 8.201220780912489294e-01
-3.981606419832987728e-09 2.250658511807947363e-07 1.263201776444800473e+00 9.703391504234982756e-01
5.553583154162073669e-08 1.954229985283251624e-07 1.046915221217560310e+00 7.519724068816009410e-01
2.256452280636668739e-07 2.280982519632867297e-07 8.550364949566385819e-01 1.158712067783402411e+00
2.903746978883699191e-07 2.407382287467762231e-07 8.708649682790516877e-01 1.039746309591696116e+00
2.351821808194189972e-07 2.384865765928365405e-07 7.593505385619263581e-01 1.300000000000000044e+00
9.599380464061775082e-08 1.234507547035682960e-07 8.003857693957762143e-01 1.148955836820710008e+00
3.045673781385528699e-08 1.848413820729895602e-07 1.160862938650265352e+00 7.756881954669073709e-01
-2.883166136962546233e-08 1.852181992188685939e-07 1.051967457899421143e+00 9.685570813884452068e-01
4.532399900093628813e-08 3.830992633972326932e-08 7.139598311499181227e-01 1.300000000000000044e+00
8.033736167690439383e-08 8.886864945558597200e-08 7.586748837941013068e-01 1.300000000000000044e+00
1.438315920455429658e-07 -2.585523613046276213e-08 8.293048006825880503e-01 1.151589791908457894e+00
3.457828211248740234e-08 5.491446356680696930e-08 1.300000000000000044e+00 7.913023033460117039e-01
3.871568967113133979e-08 4.398872624057755647e-08 1.131771581077938293e+00 7.829070440079348714e-01
2.351835381611404364e-08 2.601516812429841130e-08 1.300000000000000044e+00 7.289633928916136041e-01
1.712649364043733948e-07 8.195622164618436620e-08 9.222044794397338263e-01 1.078825962505463476e+00
2.397026184283719607e-07 2.357707039305100380e-07 8.422928803516006591e-01 1.142008612246657728e+00
1.984543798148378435e-07 -7.028063593193460511e-10 7.833990659468254014e-01 1.283084390840407485e+00
-3.318668844760509583e-08 -2.367209602968754790e-08 9.787816065292627155e-01 9.968472259750505993e-01
1.282040287737387066e-07 6.085500322981823220e-08 7.420253347418201972e-01 1.232489089471772825e+00
2.031928691453402192e-08 2.108433368249551711e-07 1.054880148293149578e+00 8.191814472995858631e-01
4.649038839555503525e-08 2.159604165306278018e-06 1.300000000000000044e+00 7.632966808449610507e-01
1.679772814448620045e-07 1.665513678262398251e-07 1.053781576833414002e+00 7.206041111945303834e-01
2.387968035367251179e-07 2.285704662591795990e-07 9.677413342861239665e-01 1.078608705928450595e+00
3.943539782700254330e-08 1.435489630519977730e-07 1.215644538188947354e+00 9.376076143458800249e-01
1.716082766979448840e-07 1.620371387245347592e-07 1.250753478756259529e+00 7.095420238497658350e-01
2.304863908125408411e-07 2.962497889928128971e-08 7.146749659708019342e-01 1.069758982254368274e+00
7.921456003770936779e-08 5.530939355620752532e-08 7.252025391335724658e-01 1.190556930446770023e+00
1.580461468343114502e-08 -3.169174059590816600e-08 8.015278667000974577e-01 1.300000000000000044e+00
1.092744787548659851e-07 2.478246634416977186e-06 1.300000000000000044e+00 7.832751158654421841e-01
7.456909250851342452e-08 1.229084579631395067e-07 1.300000000000000044e+00 7.232756418244490337e-01
1.705371268172413369e-07 6.363076042754173177e-08 1.300000000000000044e+00 8.601903228622791442e-01
1.573324652574661214e-08 1.434834158982158247e-08 1.177990887452476931e+00 8.775098286678701953e-01
8.079255579175952244e-08 3.075917261079559682e-08 9.127172886273229313e-01 1.259975614063204130e+00
-8.592020008737629445e-09 2.771784302347992472e-07 1.300000000000000044e+00 7.903343993324123407e-01
5.996178971744667046e-09 -7.250134094160839545e-09 7.391745634748135840e-01 1.300000000000000044e+00
1.743604683004385582e-06 4.721722244293358213e-08 8.555834380692651786e-01 1.300000000000000044e+00
1.400882669552541272e-07 5.624416321153317049e-08 8.437796897659395334e-01 1.044705304725303208e+00
1.602825923462971209e-07 5.314857048785651089e-08 1.070303352210495218e+00 9.970181619514035809e-01
3.083201564867032066e-08 2.129927127205979747e-08 7.438219562013922426e-01 1.162989949764844599e+00
1.447728851275205341e-08 1.833565565374664357e-07 1.300000000000000044e+00 9.605412608351814319e-01
-1.297209650906398172e-08 -4.224894351307019833e-08 1.300000000000000044e+00 8.802971588357192401e-01
4.286015900951255955e-08 1.321461451097514296e-07 1.294564811343151378e+00 8.236818763851271319e-01
2.372267263700815815e-08 2.082725222382889909e-07 1.128645592099025263e+00 1.017158618452286056e+00
5.524459093960025902e-08 2.236711511269304647e-08 9.636731689233934972e-01 8.505271874658490994e-01
